Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Mobility Rate,Mobility Count,Entrants Rate,Entrants Count,Withdrawals Rate,Withdrawals Count,Average Daily Member Count,Create Date
2022,30,Baltimore City,0249,Medfield Heights Elementary,Elementary,9.5,34,<= 5.0,*,6.4,23,357.3,20221114
2022,30,Baltimore City,0250,"Dr. Bernard Harris, Sr., Elementary",Elementary,44.8,120,22.4,60,22.4,60,267.7,20221114
2022,30,Baltimore City,0251,Callaway Elementary,Elementary,30.4,66,9.2,20,21.2,46,217.5,20221114
2022,30,Baltimore City,0256,Calvin M. Rodwell Elementary/Middle,Elementary,27.7,130,10.0,47,17.7,83,468.8,20221114
2022,30,Baltimore City,0256,Calvin M. Rodwell Elementary/Middle,Middle,26.0,83,13.2,42,12.9,41,318.8,20221114
2022,30,Baltimore City,0256,Calvin M. Rodwell Elementary/Middle,All,27.0,213,11.3,89,15.7,124,787.6,20221114
2022,30,Baltimore City,0260,Frederick Elementary,Elementary,44.6,139,16.1,50,28.6,89,311.4,20221114
2022,30,Baltimore City,0262,Empowerment Academy,Elementary,11.3,20,<= 5.0,*,7.3,13,177.6,20221114
2022,30,Baltimore City,0262,Empowerment Academy,Middle,25.0,23,9.8,9,15.2,14,92.0,20221114
2022,30,Baltimore City,0262,Empowerment Academy,All,16.0,43,5.9,16,10.0,27,269.6,20221114
2022,30,Baltimore City,0301,William S. Baer School,Elementary,21.8,11,5.9,3,15.9,8,50.4,20221114
2022,30,Baltimore City,0301,William S. Baer School,Middle,23.8,8,<= 5.0,*,23.8,8,33.6,20221114
2022,30,Baltimore City,0301,William S. Baer School,High,15.8,6,<= 5.0,*,15.8,6,38.1,20221114
2022,30,Baltimore City,0301,William S. Baer School,All,20.5,25,<= 5.0,*,18.0,22,122.1,20221114
